#jdstart-2463963   jdend-2463963    elevation      azimuth  flag        throw
       16.333333       16.375000      50.0000      80.9196     0      90.0000
       16.375000       16.416667      56.6667      55.0000     1      40.0000
       16.416667       16.458333      51.6667      85.0000     1      40.0000
       16.458333       16.500000      66.4283      199.272     1      40.0000
       16.500000       16.541667      59.6619      217.605     1      40.0000
       16.541667       16.583333      50.2905      226.487     1      40.0000
       16.583333       16.625000      50.0000      229.905     1      40.0000
       16.625000       16.666667      50.0000      221.000     1      40.0000
       16.666667       16.708333      50.0000      66.2718     1      40.0000
       16.708333       16.750000      50.0000      54.4830     1      40.0000
       16.750000       16.791667      56.5554      36.2382     1      40.0000
       16.791667       16.833333      61.9524      8.59839     1      40.0000
       16.833333       16.875000      60.2279      337.501     1      40.0000
       16.875000       16.916667      52.3511      314.280     1      40.0000
       16.916667       16.958333      50.0000      299.489     1      40.0000
       16.958333       17.000000      50.0000      283.000     1      40.0000
       17.000000       17.041667      50.0000      280.821     0      90.0000
       17.041667       17.083333      50.0000      276.593     0      90.0000
       17.083333       17.125000      50.0000      272.040     0      90.0000
       17.125000       17.166667      50.0000      265.471     0      90.0000
       17.166667       17.208333      50.0000      245.000     0      90.0000
       17.208333       17.250000      50.0000      100.559     0      90.0000
       17.250000       17.291667      50.0000      90.5491     0      90.0000
       17.291667       17.333333      50.0000      85.4684     0      90.0000
       17.333333       17.375000      50.0000      81.1898     0      90.0000
       17.375000       17.416667      56.6667      55.0000     1      40.0000
       17.416667       17.458333      50.0000      86.0000     1      40.0000
       17.458333       17.500000      66.1171      200.827     1      40.0000
       17.500000       17.541667      59.1030      218.429     1      40.0000
       17.541667       17.583333      50.0000      226.844     1      40.0000
       17.583333       17.625000      50.0000      230.003     1      40.0000
       17.625000       17.666667      50.0000      221.000     1      40.0000
       17.666667       17.708333      50.0000      65.6288     1      40.0000
       17.708333       17.750000      50.0000      53.5270     1      40.0000
       17.750000       17.791667      57.0820      34.7240     1      40.0000
       17.791667       17.833333      62.0718      6.52151     1      40.0000
       17.833333       17.875000      59.8674      335.671     1      40.0000
       17.875000       17.916667      51.6951      313.092     1      40.0000
       17.916667       17.958333      50.0000      298.724     1      40.0000
       17.958333       18.000000      50.0000      282.000     1      40.0000
       18.000000       18.041667      50.0000      280.610     0      90.0000
       18.041667       18.083333      50.0000      276.331     0      90.0000
       18.083333       18.125000      50.0000      271.675     0      90.0000
       18.125000       18.166667      50.0000      264.841     0      90.0000
       18.166667       18.208333      50.0000      245.000     0      90.0000
       18.208333       18.250000      50.0000      101.707     0      90.0000
       18.250000       18.291667      50.0000      91.0687     0      90.0000
       18.291667       18.333333      50.0000      85.8185     0      90.0000
       18.333333       18.375000      50.0000      81.4672     0      90.0000
       18.375000       18.416667      56.3333      55.0000     1      40.0000
       18.416667       18.458333      50.6667      86.0000     1      40.0000
       18.458333       18.500000      65.7833      202.333     1      40.0000
       18.500000       18.541667      58.5341      219.213     1      40.0000
       18.541667       18.583333      50.0000      227.179     1      40.0000
       18.583333       18.625000      50.0000      230.089     1      40.0000
       18.625000       18.666667      51.3333      225.000     1      40.0000
       18.666667       18.708333      50.0000      64.9710     1      40.0000
       18.708333       18.750000      50.0000      52.5426     1      40.0000
       18.750000       18.791667      57.5887      33.1657     1      40.0000
       18.791667       18.833333      62.1584      4.43017     1      40.0000
       18.833333       18.875000      59.4808      333.884     1      40.0000
       18.875000       18.916667      51.0264      311.941     1      40.0000
       18.916667       18.958333      50.0000      297.977     1      40.0000
       18.958333       19.000000      50.0000      282.000     1      40.0000
       19.000000       19.041667      50.0000      280.392     0      90.0000
       19.041667       19.083333      50.0000      276.060     0      90.0000
       19.083333       19.125000      50.0000      271.299     0      90.0000
       19.125000       19.166667      50.0000      264.198     0      90.0000
       19.166667       19.208333      50.0000      245.000     0      90.0000
       19.208333       19.250000      50.0000      102.886     0      90.0000
       19.250000       19.291667      50.0000      91.6031     0      90.0000
       19.291667       19.333333      50.0000      86.1782     0      90.0000
       19.333333       19.375000      50.0000      81.7518     0      90.0000
       19.375000       19.416667      56.6667      55.0000     1      40.0000
       19.416667       19.458333      50.0000      87.0000     1      40.0000
       19.458333       19.500000      65.4277      203.790     1      40.0000
       19.500000       19.541667      57.9558      219.958     1      40.0000
       19.541667       19.583333      50.0000      227.493     1      40.0000
       19.583333       19.625000      50.0000      230.161     1      40.0000
       19.625000       19.666667      50.6667      226.000     1      40.0000
       19.666667       19.708333      50.0000      64.2977     1      40.0000
       19.708333       19.750000      50.0000      51.5286     1      40.0000
       19.750000       19.791667      58.0744      31.5628     1      40.0000
       19.791667       19.833333      62.2120      2.32890     1      40.0000
       19.833333       19.875000      59.0691      332.139     1      40.0000
       19.875000       19.916667      50.3457      310.824     1      40.0000
       19.916667       19.958333      50.0000      297.249     1      40.0000
       19.958333       20.000000      50.0000      281.000     1      40.0000
       20.000000       20.041667      50.0000      280.167     0      90.0000
       20.041667       20.083333      50.0000      275.780     0      90.0000
       20.083333       20.125000      50.0000      270.913     0      90.0000
       20.125000       20.166667      50.0000      263.540     0      90.0000
       20.166667       20.208333      50.0000      245.000     0      90.0000
       20.208333       20.250000      50.0000      104.092     0      90.0000
       20.250000       20.291667      50.0000      92.1520     0      90.0000
       20.291667       20.333333      50.0000      86.5472     0      90.0000
       20.333333       20.375000      50.0000      82.0434     0      90.0000
       20.375000       20.416667      56.3333      54.0000     1      40.0000
       20.416667       20.458333      50.3333      87.0000     1      40.0000
       20.458333       20.500000      65.0515      205.196     1      40.0000
       20.500000       20.541667      57.3687      220.667     1      40.0000
       20.541667       20.583333      50.0000      227.786     1      40.0000
       20.583333       20.625000      50.0000      230.222     1      40.0000
       20.625000       20.666667      50.0000      226.000     1      40.0000
       20.666667       20.708333      50.0000      63.6083     1      40.0000
       20.708333       20.750000      50.0000      50.4840     1      40.0000
       20.750000       20.791667      58.5383      29.9155     1      40.0000
       20.791667       20.833333      62.2322     0.222374     1      40.0000
